Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit
ORD-11057,10/02/2023,16/02/2023,First Class,Zara Chaudhry,Home Office,Central,Multan,Furniture,Bookcases,Corner Bookcase,7,220.41,0,1542.87,245.56
ORD-10272,20/10/2024,22/10/2024,Same Day,Hina Sheikh,Corporate,Centeral,Faisalabad,Furniture,Chairs,Stacking Chair,6,873.28,0,5239.68,542.12
ORD-10790,29/11/2024,02/12/2024,Standard Class,Nida Khan,Consumer,north,Rawalpindi,Office Supplies,Storage,Storage Bin,10,250.47,0,2504.7,449.88
ORD-11101,24/10/2024,26/10/2024,Second Class,Omar Chaudhry,Corporate,West,Quetta,Furniture,Bookcases,5-Shelf Bookcase,7,149.87,0.1,1049.09,-50.31
ORD-10651,18/04/2023,25/04/2023,First Class,Imran Malik,Home Office,north,Rawalpindi,Technology,Accessories,Keyboard,9,317.27,0.15,2855.43,807.23
ORD-10420,21/03/2024,22/03/2024,,Ali Malik,Corporate,east,Gujranwala,Technology,Accessories,Keyboard,9,575.49,0.3,5179.41,341.29
ORD-10252,24/11/2024,29/11/2024,First Class,Adeel Qureshi,Corporate,Centeral,Multan,Furniture,Bookcases,Corner Bookcase,5,272.14,0,1360.7,123.65
ORD-10385,09/07/2023,11/07/2023,First Class,Hina Malik,Home Office,NORTH,Lahore,Furniture,Chairs,Folding Chair,1,102.45,0,102.45,-7.1
ORD-10204,11/10/2023,17/10/2023,Same Day,Ahmed Chaudhry,Corporate,north,Rawalpindi,Technology,Accessories,Keyboard,4,468.39,0.15,1873.56,-104.31
ORD-10325,27/09/2024,30/09/2024,Standard Class,Usman Qureshi,Home Office,WEST,Peshawar,Furniture,Bookcases,Wall-Mount Bookcase,3,53.46,0.3,160.38,9.88
ORD-11015,24/11/2023,27/11/2023,Second Class,Ahmed Iqbal,Consumer, West,Quetta,Technology,Accessories,Wireless Mouse,9,65.83,0,592.47,85.81
ORD-11129,15/10/2023,21/10/2023,Second Class,Adeel Malik,Consumer,Centeral,Multan,Furniture,Bookcases,5-Shelf Bookcase,-2,725.85,0.3,1451.7,216.54
ORD-10714,13/08/2024,14/08/2024,First Class,Ayesha Farooq,Home Office,east,Sialkot,Office Supplies,Storage,Storage Bin,11,899.15,0.1,9890.65,545.9
ORD-10881,03/02/2023,09/02/2023,Standard Class,Tariq Malik,Corporate, West,Peshawar,Furniture,Furnishings,Wall Clock,12,700.05,0.2,8400.6,2894.88
ORD-10611,23/10/2023,30/10/2023,Second Class,Fatima Ansari,Home Office,north,Rawalpindi,Office Supplies,Storage,Storage Box,1,816.44,0.2,816.44,281.01
ORD-10034,31/05/2024,04/06/2024,Second Class,Zara Sheikh,Corporate,Centeral,Multan,Technology,Copiers,Multifunction Copier,11,253.19,0.3,2785.09,308.17
ORD-10757,18/10/2023,25/10/2023,Same Day,Fatima Iqbal,Corporate,central,Multan,Technology,Accessories,USB Cable,10,826.84,0,8268.4,-335.46
ORD-10922,30/01/2024,05/02/2024,First Class,Usman Butt,Consumer,north,Lahore,Furniture,Tables,Round Conference Table,7,293.67,0.15,2055.69,185.81
ORD-10883,26/09/2023,03/10/2023,First Class,Hina Butt,Home Office,Central,Multan,Office Supplies,Art,Highlighter Pack,4,717.02,0,2868.08,-50.9
ORD-10713,11/10/2024,15/10/2024,Second Class,Tariq Butt,Home Office,Central,Multan,Furniture,Tables,Corner Table,10,342.91,0,3429.1,-154.72
ORD-10308,10/08/2023,14/08/2023,First Class,Adeel Butt,Consumer,Centeral,Faisalabad,Furniture,Tables,Corner Table,10,739.31,0,7393.1,1194.77
ORD-10698,12/07/2023,17/07/2023,First Class,Mahnoor Khan,Consumer,South,Karachi,Office Supplies,Binders,Hanging Binder,10,887.91,0.1,8879.1,-1129.06
ORD-10351,17/10/2023,20/10/2023,Standard Class,Bilal Butt,Home Office,WEST,Quetta,Furniture,Chairs,Executive Leather Chair,1,185.86,0.1,185.86,-10.07
ORD-10833,25/12/2023,31/12/2023,Same Day,Zara Chaudhry,Corporate,central,Faisalabad,Technology,Phones,Smartphone X200,7,528.1,0,3696.7,124.35
ORD-10517,18/01/2024,23/01/2024,First Class,Imran Farooq,Consumer,NORTH,Lahore,Furniture,Chairs,Stacking Chair,11,859.91,0.15,9459.01,1693.19
ORD-10408,19/12/2023,20/12/2023,First Class,Kamran Ansari,Consumer,Central,Faisalabad,Furniture,Bookcases,5-Shelf Bookcase,1,5.75,0.15,5.75,1.5
ORD-10934,10/10/2023,13/10/2023,Same Day,Sara Khan,Consumer,CENTRAL,Faisalabad,Technology,Accessories,Wireless Mouse,2,643.22,0.1,1286.44,-36.83
ORD-10264,06/03/2024,12/03/2024,Standard Class,Ayesha Ansari,Corporate,Nort,Islamabad,Technology,Machines,Label Maker,12,557.84,0,6694.08,
ORD-11111,06/08/2023,11/08/2023,First Class,Tariq Malik,Home Office,north,Lahore,Office Supplies,Storage,Storage Bin,12,496.3,0.15,5955.6,1698.24
ORD-10796,19/01/2024,23/01/2024,First Class,Omar Butt,Home Office,EAST,Sialkot,Furniture,Bookcases,5-Shelf Bookcase,10,27.85,0.15,278.5,-12.33
ORD-10565,20/05/2024,23/05/2024,Second Class,Fatima Iqbal,Home Office,NORTH,Islamabad,Technology,Machines,Laser Printer,2,783.58,0.15,1567.16,156.97
ORD-10640,30/04/2024,02/05/2024,Second Class,Faisal Butt,Corporate,North,Rawalpindi,Technology,Accessories,Keyboard,11,651.68,0,7168.48,-953.43
ORD-11054,18/09/2023,23/09/2023,Same Day,Ahmed Malik,Home Office,NORTH,Lahore,Office Supplies,Labels,Shipping Labels,4,731.73,0,2926.92,918.77
ORD-10656,20/10/2023,25/10/2023,Same Day,Imran Ansari,Consumer,West,Peshawar,Technology,Machines,Label Maker,11,898.17,0.15,9879.87,1965.51
ORD-10671,27/10/2024,30/10/2024,Standard Class,Ali Qureshi,Consumer, South ,Karachi,Furniture,Tables,Round Conference Table,11,736.58,0,8102.38,1639.35
ORD-10189,09/11/2023,10/11/2023,Second Class,Adeel Butt,Home Office,SOUTH,Karachi,Technology,Copiers,Multifunction Copier,10,348.42,0,3484.2,325.2
ORD-10141,26/07/2023,02/08/2023,Standard Class,Usman Khan,Consumer,CENTRAL,Faisalabad,Furniture,Chairs,Mesh Task Chair,11,815.14,0,8966.54,1515.1
ORD-10418,01/09/2024,08/09/2024,First Class,Sana Butt,Consumer, South ,Hyderabad,Office Supplies,Paper,Notebook,4,522.09,0.3,2088.36,47.07
ORD-10522,23/06/2024,29/06/2024,Second Class,Imran Chaudhry,Home Office,Central,Faisalabad,Office Supplies,Art,Marker Set,3,885.85,0.2,2657.55,801.12
ORD-10263,21/04/2023,27/04/2023,,Nida Malik,Corporate,North,Rawalpindi,Furniture,Furnishings,Wall Clock,9,231.2,0.2,2080.8,-152.81
ORD-11087,03/01/2023,07/01/2023,Standard Class,Kamran Qureshi,Home Office,South,Karachi,Office Supplies,Storage,Storage Bin,2,41.18,0,82.36,1.24
ORD-10546,14/01/2024,20/01/2024,Same Day,Faisal Farooq,Consumer,Centeral,Faisalabad,Office Supplies,Labels,Shipping Labels,12,838.28,0.1,10059.36,2171.4
ORD-10819,11/09/2024,16/09/2024,Second Class,Tariq Malik,Consumer,North,Islamabad,Furniture,Bookcases,Wall-Mount Bookcase,11,49.05,0,539.55,16.75
ORD-10280,14/07/2024,21/07/2024,First Class,Kamran Butt,Home Office,EAST,Sialkot,Furniture,Tables,Coffee Table,12,586.83,0,7041.96,717.9
ORD-10595,12/03/2023,16/03/2023,Same Day,Imran Butt,Corporate,south,Karachi,Office Supplies,Art,Highlighter Pack,10,519.71,0,5197.1,747.06
ORD-10027,25/09/2023,27/09/2023,Second Class,Hina Iqbal,Corporate,CENTRAL,Multan,Furniture,Furnishings,Wall Clock,10,885.89,0,8858.9,377.37
ORD-11193,16/09/2024,21/09/2024,Same Day,  Tariq Ansari  ,Consumer,Central,Multan,Office Supplies,Storage,Filing Cabinet,8,866.37,0.3,6930.96,2124.06
ORD-10498,03/04/2023,05/04/2023,First Class,Usman Iqbal,Corporate,Central,Faisalabad,Office Supplies,Labels,Shipping Labels,4,134.13,0,N/A,-23.04
ORD-10727,09/01/2024,10/01/2024,First Class,Bilal Chaudhry,Corporate,South,Hyderabad,Furniture,Tables,Round Conference Table,5,436.01,0,2180.05,52.92
ORD-10489,21/01/2023,27/01/2023,Second Class,hina qureshi,Corporate,West,Peshawar,Office Supplies,Labels,Shipping Labels,2,728.45,0,1456.9,284.72
ORD-10412,30/12/2023,01/01/2024,Standard Class,Rabia Chaudhry,Home Office, South ,Karachi,Technology,Copiers,Desktop Copier,7,834.28,0.15,5839.96,195.55
ORD-11157,20/06/2024,21/06/2024,Second Class,Omar Qureshi,Corporate, South ,Hyderabad,Office Supplies,Art,Pen Set,2,864.53,0.1,1729.06,533.13
ORD-11172,04/01/2023,07/01/2023,,Ahmed Ansari,Corporate,West,Quetta,Technology,Copiers,Multifunction Copier,3,368.58,0.3,1105.74,32.47
ORD-11169,16/04/2023,19/04/2023,First Class,Fatima Malik,Consumer,Nort,Islamabad,Technology,Machines,Laser Printer,3,756.07,0.3,2268.21,589.02
ORD-10046,22/07/2024,29/07/2024,First Class,Omar Sheikh,Corporate, South ,Hyderabad,Office Supplies,Binders,3-Ring Binder,7,624.15,0,4369.05,795.08
ORD-10113,05/05/2024,11/05/2024,First Class,Omar Sheikh,Home Office,south,Karachi,Technology,Copiers,Desktop Copier,1,713.04,0,713.04,5.56
ORD-10467,08/06/2024,14/06/2024,First Class,Hina Farooq,Corporate,Central,Faisalabad,Furniture,Chairs,Mesh Task Chair,12,126.27,0,1515.24,-187.22
ORD-10547,28/05/2023,02/06/2023,Standard Class,Sana Farooq,Home Office, South ,Hyderabad,Furniture,Chairs,Mesh Task Chair,1,673.11,0.15,673.11,23.33
ORD-10771,12/06/2023,14/06/2023,Same Day,Usman Sheikh,Corporate,North,Islamabad,Technology,Copiers,Multifunction Copier,2,810.32,0,1620.64,346.95
ORD-11160,03/09/2023,07/09/2023,Same Day,Zara Khan,Home Office,east,Gujranwala,Office Supplies,Binders,3-Ring Binder,12,672.68,0.2,8072.16,-24.42
ORD-10101,25/03/2023,30/03/2023,Second Class,Adeel Malik,Home Office,SOUTH,Hyderabad,Technology,Copiers,Desktop Copier,5,505.24,0.2,2526.2,621.02
ORD-10379,07/10/2024,08/10/2024,Second Class,Sana Butt,Corporate,SOUTH,Hyderabad,Office Supplies,Storage,Filing Cabinet,7,268.51,0,1879.57,366.47
ORD-10663,11/02/2023,13/02/2023,Second Class,Imran Chaudhry,Corporate, West,Peshawar,Furniture,Tables,Rectangular Desk,2,381.88,0.15,763.76,74.68
ORD-10128,20/04/2024,22/04/2024,First Class,  Kamran Iqbal  ,Consumer,EAST,Sialkot,Office Supplies,Storage,Storage Bin,3,685.8,0.15,2057.4,269.16
ORD-10098,31/08/2024,05/09/2024,First Class,Hina Qureshi,Home Office, West,Quetta,Office Supplies,Labels,Address Labels,8,453.72,0,3629.76,273.18
ORD-10798,30/05/2024,04/06/2024,First Class,Imran Ansari,Consumer,Centeral,Multan,Technology,Phones,Cordless Phone,9,399.71,0,3597.39,-188.82
ORD-11056,05/07/2023,06/07/2023,Same Day,Tariq Ansari,Consumer,East,Sialkot,Furniture,Bookcases,5-Shelf Bookcase,5,119.04,0,595.2,186.22
ORD-10875,23/02/2024,26/02/2024,Same Day,Ayesha Raza,Corporate, South ,Hyderabad,Office Supplies,Storage,Storage Bin,9,484.39,10,4359.51,-163.27
ORD-10590,29/03/2023,01/04/2023,Standard Class,  Tariq Khan  ,Corporate, South ,Hyderabad,Furniture,Furnishings,Wall Clock,6,129.36,0.3,776.16,-66.62
ORD-10692,27/01/2023,02/02/2023,Second Class,Mahnoor Malik,Corporate,WEST,Quetta,Technology,Phones,Cordless Phone,8,754.51,0.3,6036.08,-428.04
ORD-11131,13/03/2024,19/03/2024,Second Class,Ayesha Qureshi,Consumer,east,Gujranwala,Technology,Machines,Laser Printer,1,602.23,0,602.23,-38.52
ORD-10110,11/06/2024,16/06/2024,First Class,Kamran Sheikh,Consumer,south,Hyderabad,Office Supplies,Binders,Hanging Binder,10,377.83,0.2,3778.3,695.61
ORD-10070,31/08/2023,04/09/2023,Standard Class,Nida Chaudhry,Home Office,CENTRAL,Faisalabad,Technology,Accessories,USB Cable,1,511.51,0.2,511.51,122.33
ORD-11041,23/05/2024,26/05/2024,Standard Class,Imran Khan,Consumer,West,Peshawar,Technology,Phones,Office Desk Phone,5,395.48,0.2,1977.4,120.87
ORD-10602,13/04/2023,15/04/2023,Second Class,Zara Butt,Corporate,East,Gujranwala,Furniture,Chairs,Executive Leather Chair,8,325.49,0,2603.92,539.55
ORD-11050,05/12/2024,10/12/2024,First Class,Imran Raza,Corporate,central,Faisalabad,Office Supplies,Binders,Hanging Binder,9,467.71,0.2,4209.39,-498.95
ORD-10278,05/01/2023,10/01/2023,First Class,Mahnoor Butt,Home Office,Nort,Islamabad,Technology,Copiers,Desktop Copier,12,734.64,0,8815.68,385.27
ORD-10523,13/03/2024,16/03/2024,First Class,Faisal Malik,Corporate,Central,Multan,Furniture,Chairs,Stacking Chair,8,596.47,0.15,4771.76,1223.54
ORD-10179,06/09/2023,09/09/2023,Same Day,Fatima Qureshi,Home Office,WEST,Peshawar,Office Supplies,Binders,Hanging Binder,9,166.03,0.3,1494.27,186.86
ORD-10060,12/06/2023,15/06/2023,First Class,Sana Malik,Home Office,Central,Faisalabad,Furniture,Tables,Round Conference Table,11,749.77,0.1,8247.47,
ORD-10471,07/01/2024,09/01/2024,First Class,Ayesha Sheikh,Consumer,WEST,Quetta,Technology,Accessories,USB Cable,3,771.85,0,2315.55,449.27
ORD-10430,04/02/2024,05/02/2024,Same Day,Bilal Khan,Consumer,east,Sialkot,Technology,Copiers,Desktop Copier,4,27.7,0.15,110.8,-3.41
ORD-11178,13/01/2024,15/01/2024,Second Class,Adeel Chaudhry,Home Office,east,Sialkot,Office Supplies,Art,Pen Set,7,150.27,0.2,1051.89,338.15
ORD-10284,27/09/2024,04/10/2024,Second Class,Fatima Chaudhry,Home Office,west,Peshawar,Technology,Machines,Shredder,8,163.8,0.2,1310.4,-147.77
ORD-10983,10/11/2024,12/11/2024,First Class,Nida Farooq,Corporate,West,Quetta,Furniture,Furnishings,Wall Clock,3,691.59,0.15,2074.77,
ORD-10731,09/09/2023,10/09/2023,First Class,Ahmed Raza,Consumer,SOUTH,Hyderabad,Furniture,Bookcases,5-Shelf Bookcase,-12,14.76,0,177.12,-7.64
ORD-11185,12/02/2024,16/02/2024,Standard Class,Rabia Butt,Corporate,Central,Multan,Office Supplies,Art,Highlighter Pack,3,72.28,0.3,216.84,-15.02
ORD-11026,27/10/2024,28/10/2024,Second Class,Kamran Malik,Corporate,Centeral,Faisalabad,Furniture,Chairs,Folding Chair,10,333.73,0.3,3337.3,287.8
ORD-10109,23/10/2023,25/10/2023,Standard Class,Adeel Farooq,Home Office,East,Sialkot,Furniture,Furnishings,Floor Mat,2,104.22,0.1,208.44,30.93
ORD-10783,01/11/2024,03/11/2024,First Class,Sara Malik,Consumer,East,Gujranwala,Office Supplies,Binders,Hanging Binder,5,844.84,0,4224.2,411.71
ORD-10597,04/04/2023,07/04/2023,Same Day,Faisal Sheikh,Home Office,WEST,Peshawar,Office Supplies,Labels,Address Labels,3,810.47,0.2,2431.41,160.57
ORD-10769,02/11/2024,04/11/2024,,OMAR IQBAL,Home Office,EAST,Gujranwala,Office Supplies,Paper,Sticky Notes,2,824.96,0.2,1649.92,151.58
ORD-11055,20/08/2024,27/08/2024,Standard Class,Faisal Farooq,Consumer,EAST,Gujranwala,Furniture,Bookcases,5-Shelf Bookcase,10,101.73,0.1,1017.3,44.19
ORD-10544,14/12/2023,16/12/2023,,Mahnoor Butt,Home Office,central,Faisalabad,Office Supplies,Storage,Storage Bin,12,343.01,0.2,4116.12,-107.77
ORD-10569,20/08/2023,26/08/2023,Standard Class,Omar Malik,Home Office,West,Quetta,Furniture,Tables,Coffee Table,-11,564.64,0,6211.04,558.89
ORD-10901,06/05/2024,12/05/2024,First Class,Usman Chaudhry,Corporate,Centeral,Multan,Technology,Copiers,Multifunction Copier,10,529.57,0,5295.7,-525.76
ORD-11189,31/05/2023,07/06/2023,Second Class,Sara Butt,Consumer,NORTH,Lahore,Office Supplies,Labels,Address Labels,3,205.4,0,616.2,8.59
ORD-10396,20/06/2024,23/06/2024,First Class,Ali Farooq,Consumer,East,Sialkot,Technology,Machines,Laser Printer,7,643.74,0.15,4506.18,-414.94
ORD-10009,02/07/2023,07/07/2023,First Class,Kamran Butt,Corporate,NORTH,Rawalpindi,Technology,Machines,Laser Printer,9,858.38,0.15,7725.42,2389.06
ORD-10568,06/01/2024,11/01/2024,Standard Class,Sana Raza,Home Office,north,Lahore,Office Supplies,Art,Highlighter Pack,1,355.71,0,355.71,-38.81
ORD-10053,03/02/2023,05/02/2023,Same Day,Usman Chaudhry,Consumer,EAST,Gujranwala,Technology,Copiers,Desktop Copier,11,532.86,0.3,5861.46,1857.11
ORD-10897,04/08/2023,09/08/2023,Same Day,Hassan Qureshi,Home Office,SOUTH,Karachi,Furniture,Furnishings,Desk Lamp,11,145.63,0.15,1601.93,545.58
ORD-10528,05/11/2023,12/11/2023,Same Day,Hassan Butt,Home Office,west,Peshawar,Office Supplies,Binders,3-Ring Binder,12,633.83,0.1,7605.96,652.17
ORD-10431,07/07/2024,13/07/2024,Same Day,Ali Raza,Home Office,east,,Furniture,Chairs,Folding Chair,12,43.32,0,519.84,-22.96
ORD-10305,23/05/2023,27/05/2023,Second Class,Bilal Butt,Corporate,south,Karachi,Technology,Accessories,USB Cable,3,329.19,0.2,987.57,255.26
ORD-10746,19/03/2024,20/03/2024,Second Class,Ali Qureshi,Home Office,north,Lahore,Furniture,Chairs,Executive Leather Chair,5,218.7,0.15,1093.5,-108.79
ORD-10040,27/10/2024,28/10/2024,Same Day,Usman Butt,Home Office,North,Lahore,Furniture,Chairs,Mesh Task Chair,8,604.17,0.15,4833.36,1565.42
ORD-10975,14/06/2023,17/06/2023,First Class,Faisal Ansari,Consumer, North,Islamabad,Furniture,Chairs,Stacking Chair,4,888.8,0,3555.2,960.14
ORD-10734,07/09/2024,10/09/2024,Same Day,  Ahmed Qureshi  ,Consumer,Centeral,Multan,Technology,Phones,Office Desk Phone,1,820.92,0,820.92,-69.34
ORD-10609,22/01/2023,27/01/2023,Second Class,Adeel Malik,Corporate,NORTH,Lahore,Technology,Copiers,Desktop Copier,1,128.11,0.1,128.11,-0.22
ORD-10454,22/12/2023,26/12/2023,First Class,Usman Ansari,Corporate,West,Peshawar,Furniture,Chairs,Executive Leather Chair,11,305.61,0.15,3361.71,71.93
ORD-10207,02/06/2024,05/06/2024,Second Class,Tariq Ansari,Consumer,Centeral,Faisalabad,Technology,Copiers,Desktop Copier,10,141.65,0,1416.5,7.02
ORD-10083,10/10/2024,15/10/2024,Second Class,Rabia Qureshi,Corporate,CENTRAL,Faisalabad,Technology,Accessories,Wireless Mouse,7,93.76,0.2,656.32,-60.9
ORD-10868,20/02/2023,23/02/2023,Second Class,Hassan Chaudhry,Home Office,,Multan,Office Supplies,Storage,Storage Bin,9,605.94,0.15,5453.46,269.05
ORD-10943,06/08/2024,07/08/2024,Second Class,Zara Khan,Consumer,East,Gujranwala,Furniture,Tables,Rectangular Desk,8,205.9,0.2,1647.2,562.73
ORD-10151,31/07/2024,01/08/2024,First Class,Zara Khan,Home Office,Centeral,Faisalabad,Technology,Phones,Office Desk Phone,12,200.02,0,2400.24,-305.68
ORD-10205,23/10/2024,24/10/2024,First Class,Adeel Malik,Consumer, South ,Hyderabad,Furniture,Tables,Corner Table,9,800.41,0,7203.69,2474.04
ORD-10407,07/11/2024,09/11/2024,Same Day,Fatima Raza,Home Office,WEST,Peshawar,Technology,Copiers,Desktop Copier,5,515.4,0.2,2577,5.86
,,,,,,,,,,,,,,,
ORD-10397,04/12/2024,11/12/2024,Second Class,  Rabia Chaudhry  ,Corporate,Central,Faisalabad,Office Supplies,Binders,3-Ring Binder,1,521.92,0,521.92,88.43
ORD-10557,03/10/2023,04/10/2023,Second Class,Faisal Sheikh,Home Office,east,Gujranwala,Furniture,Furnishings,Desk Lamp,1,245.9,0.15,245.9,46.12
ORD-10667,04/05/2023,06/05/2023,First Class,Ahmed Qureshi,Home Office,West,Peshawar,Furniture,Tables,Corner Table,4,86.39,0,345.56,
ORD-10935,28/08/2024,01/09/2024,Standard Class,Ali Qureshi,Home Office,East,Gujranwala,Technology,Copiers,Multifunction Copier,2,533.36,0.3,1066.72,182.77
ORD-10473,02/05/2023,05/05/2023,First Class,Ayesha Qureshi,Consumer,North,Islamabad,Technology,Phones,Smartphone X200,4,530.9,0,2123.6,-122.34
ORD-10146,17/09/2024,24/09/2024,Same Day,Ayesha Butt,Consumer, West,Peshawar,Furniture,Furnishings,Floor Mat,3,432.32,0,1296.96,-190.11
ORD-10372,04/09/2023,09/09/2023,Second Class,Tariq Butt,Consumer, South ,Hyderabad,Technology,Accessories,Wireless Mouse,4,588.96,0.15,2355.84,284.3
ORD-10125,21/07/2023,27/07/2023,Second Class,Tariq Malik,Consumer,CENTRAL,Multan,Technology,Accessories,Keyboard,9,578.68,0.15,5208.12,1670.78
ORD-10054,11/07/2024,13/07/2024,Same Day,Omar Qureshi,Home Office,SOUTH,Karachi,Furniture,Chairs,Mesh Task Chair,12,742.7,0,8912.4,620.1
ORD-10237,21/07/2024,27/07/2024,First Class,Ali Iqbal,Consumer,CENTRAL,Faisalabad,Office Supplies,Paper,Copy Paper A4,10,496.95,0.1,4969.5,-363.79
ORD-10797,04/06/2024,11/06/2024,Second Class,Bilal Iqbal,Home Office,CENTRAL,Multan,Office Supplies,Labels,Address Labels,11,75.21,0,827.31,272.44
ORD-10355,14/04/2024,20/04/2024,First Class,Hina Butt,Home Office,West,Quetta,Furniture,Furnishings,Floor Mat,9,898.6,0.1,8087.4,2561.76
ORD-10377,09/03/2023,11/03/2023,Same Day,Nida Khan,Home Office, West,Peshawar,Office Supplies,Paper,Sticky Notes,10,663.12,0.1,6631.2,1393.22
ORD-11025,15/02/2023,21/02/2023,Same Day,Zara Khan,Consumer,NORTH,Rawalpindi,Office Supplies,Art,Marker Set,11,248.41,0.3,2732.51,-152.93
ORD-10506,24/01/2023,29/01/2023,Standard Class,Hassan Khan,Corporate,central,Multan,Office Supplies,Paper,Sticky Notes,7,558.11,0.15,3906.77,-77.83
ORD-10097,27/02/2023,02/03/2023,Standard Class,Ali Raza,Home Office,Central,Faisalabad,Office Supplies,Art,Marker Set,5,73.67,0.3,368.35,124.75
ORD-10666,28/04/2023,05/05/2023,Second Class,imran malik,Consumer,EAST,Sialkot,Technology,Copiers,Desktop Copier,12,658.76,0.15,7905.12,-469.61
ORD-10848,30/10/2023,02/11/2023,Second Class,Kamran Raza,Consumer,,Quetta,Office Supplies,Storage,Storage Bin,11,473.12,0.3,5204.32,861.38
ORD-10587,29/10/2023,05/11/2023,First Class,Sara Raza,Corporate,Central,Faisalabad,Furniture,Chairs,Executive Leather Chair,1,493.69,0,493.69,-25.51
ORD-10504,15/02/2024,17/02/2024,Same Day,Rabia Butt,Corporate,east,Sialkot,Furniture,Tables,Rectangular Desk,10,618.75,0.3,6187.5,1978.2
ORD-10562,03/12/2023,04/12/2023,Standard Class,Faisal Ansari,Home Office,South,Hyderabad,Furniture,Chairs,Mesh Task Chair,12,634.45,0.3,7613.4,353.23
ORD-11105,08/10/2024,11/10/2024,Standard Class,Nida Sheikh,Home Office,NORTH,Islamabad,Office Supplies,Binders,Hanging Binder,3,175.18,0.2,525.54,48.2
ORD-10012,13/12/2023,14/12/2023,First Class,Usman Malik,Home Office,central,Multan,Furniture,Chairs,Executive Leather Chair,1,774.37,0,774.37,82.92
ORD-11108,18/07/2024,24/07/2024,First Class,Omar Ansari,Home Office,East,Sialkot,Technology,Accessories,USB Cable,7,267.64,0.3,1873.48,-181.19
ORD-10253,17/10/2024,20/10/2024,Standard Class,Ali Qureshi,Home Office,east,Gujranwala,Furniture,Tables,Rectangular Desk,7,596.17,0.2,4173.19,-334
ORD-11010,16/06/2023,21/06/2023,,Tariq Farooq,Home Office,,Karachi,Furniture,Chairs,Folding Chair,6,131.87,0.3,791.22,166.35
ORD-10531,30/04/2023,04/05/2023,Second Class,Hassan Chaudhry,Home Office,CENTRAL,Faisalabad,Technology,Copiers,Desktop Copier,12,177.02,0,2124.24,146.69
